Chinese,part,English
祝贺……,,congratulate …on 
连接；把…联系起来,vt.,connect
与……相连,,connect with 
考虑,vt.,consider
继续,vi.,continue
控制,vt.& n.,control
方便的,a.,convenient
谈话，交谈,n.,conversation
炊事员，厨师z，．烹调，做饭,n.,cook
炊具(锅、炉灶、烤炉等),n.,cooker
曲奇饼，饼干,n.,cookie
凉的，凉爽的；酷,a.,cool
抄本，副本；一本(份，册……) ,n.,copy
抄写；复印；(计算机用语)拷(备份盘),v.,copy
玉米，谷物,   n.,corn
角；角落；拐角,n.,corner
改正；纠正;,v.,correct
正确的，对的；恰当的,a.,correct
值(多少钱)；花费;,v.,"cost(cost, cost)"
价格,n.,cost
棉花;,n.,cotton
棉花的,a.,cotton
咳嗽,n.&vi.,cough
(can的过去式)可以；（表示许可或请求）可以…，行,modal v.,could
数，点数,vt.,count
国家；农村，乡下,n.,country
乡下，农村,n.,countryside
夫妇；一对,n.,couple
勇气；胆略,n.,courage
过程；经过；课程,n.,course
堂(表)兄弟，堂(表)姐妹,n.,cousin
盖子；罩．,n.,cover
覆盖，遮盖；掩盖,v.,cover
母牛，奶牛,n.,cow
蜡笔；蜡笔画,n.,crayon
疯狂的,a.,crazy
创造；造成,vt.,create
批评，评论,v.,criticize
十字形的东西;,n.,cross
越过；穿过,vt.,cross
生气地,a.,cross
拥挤的,v.,crowd
残酷的；无情的,a.,cruel
叫喊；哭声;,n.,cry
喊叫；哭,v.,cry
文化,n.,culture
茶杯,n.,cup
好奇的，古怪的,a.,curious
顾客,n.,customer
切，剪，削，割,v.,"cut(cut, cut)"
砍倒,,cut down 
切断,,cut off 
可爱的，迷人的,a.,cute
每日的；日常的,a.,daily
每天,ad.,daily
日报,n.,daily
跳舞,n.&vi.,dance
危险,n.,danger
危险的,a.,dangerous
敢；敢于,v.&aux.v,dare
黑暗；暗处；日暮;黑暗的；暗淡的；深色的, a.,dark
日期；约会,n.,date
女儿,n.,daughter
天; 日；白天,n.,day
日日夜夜,,day and night 
死的；无生命的,a.,dead
聋的,a.,deaf
量，数额；交易,v.,deal
处理，对付,,deal with 
亲爱的,a.,dear
死,n.,death
十二月,n.,December
决定；下决心,v.,decide
决定；决心,n.,decision
深的;,a.,deep
深；深厚, ad.,deep
程度；度数；学位,n.,degree
美味的，可口的,a.,delicious
"传递, 履行, 分发, 给予",v.,deliver
牙科医生,n.,dentist
依靠；依赖；指望；取决于,vi.,depend
"依靠,相信，信赖",,depend on（upon）
描写，叙述,vt.,describe
设计，构思,v.,design
设计，图案,n.,design
书桌，写字台,n.,desk
破坏，毁灭,v.,destroy
 (使)发展；(使)发达；(使)发育；开发,v.,develop
冲洗(照片),vt.,develop
发展；发达；发育；开发,n.,development
对话,n.,dialogue (美dialog)
日记；日记簿,n.,diary
词典，字典,n.,dictionary
死,v.,die
消失，灭亡,,die out 
不同,n.,difference
不同的，有差异的,a.,different
与……不同,,different from 
难的；艰难的；不易相处的,a.,difficult
困难；费力,n.,difficulty
挖(洞、沟等)；掘,v.,"dig(dug, dug)"
吃饭,n.&v.,dining
正餐，宴会,n.,dinner
直接的；直达的；直截了当的,a.,direct
指挥；指导；监督；管理；指挥（演奏）；导演（电影）,vt.,direct
方向；方位,n.,direction
主任，主管，导演,n.,director
脏的,a.,dirty
失望的,a.,disappoint
发现,vt.,discover
发现,n.,discovery
讨论，议论,vt.,discuss
讨论，辩论,n.,discussion
病，疾病,n.,disease
盘，碟；盘装菜；盘形物,n.,dish
解散；解雇；遣散,vt.,dismiss
扰乱；打扰,vt.,disturb
分；划分,vt.,divide
把……分成……,,divide … into…
做，干(用以构成疑问句及否定句，第三人称单数现在时用does),v.&aux.v,"do(did, done)"
不做；不干,aux.v,don’t= do not
尽最大努力,,do one’s best
做打扫,,do some cleaning
买东西,,do some shopping
医生，大夫；博士,n.,doctor
狗,n.,dog
玩偶，玩具娃娃,n.,doll
元(美国、加拿大、澳大利亚等国货币单位),n.,dollar
门,n.,door
两倍的; 双的; 两个/双,a./n.,double
怀疑；疑惑,n.&vt.,doubt
沿着，沿……而下,prep.,down
向下,ad.,down
在楼下；到楼下,ad.,downstairs
十二个；一打,n.,dozen
绘画；绘制；拉，拖；提取(金钱),v.,"draw(drew, drawn)"
抽屉,n.,drawer
梦，梦想,n.&vt.,"dream(dreamt,dreamt/-ed, -ed)"
女服，连衣裙；(统指)服装；童装,n.,dress
穿衣；穿着,v.,dress
喝，饮;,v.,"drink(drank, drunk)"
饮料；喝酒,n.,drink
驾驶，开(车)；驱赶；,v.,"drive(drove, driven)"
街道，路,n.,drive
司机，驾驶员，,n.,driver
滴;,n.,drop
掉下;落下;投递;放弃,v.,drop
药；药物；毒品,n.,drug
鼓,n.,drum
使……干；弄干；擦干;,v.,dry
干的；干燥的,a.,dry
鸭子,n.,duck
饺子,n.,dumpling
在……期问；在……过程中,prep.,during
责任，义务,n.,duty
每人，每个，每件,a.&pron.,each
互相,,each other 
谋生,,earn one’s living  
渴望的; 热切的，热情洋溢的; 热心的; 急切,a.,eager
耳；耳朵；听觉; 穗,n.,ear
抽穗, v．,ear
早期的；早熟的,a.,early
提早；在初期,ad.,early
地球；地表；陆地；土地；土壤；尘事,n.,earth
地震；大动荡,n.,earthquake
东方；东风,n.,east
东方的；向东的；从东方来的,a.,east
向东方；在东方,,east
东方的；朝东的,a.,eastern
容易的；不费力的,a.,easy
吃,v.,"eat(ate, eaten)"
边缘,n.,edge
教育，培养,n.,education
影响；效果；作用,n.,effect
产生；达到目的,v.,effect
努力；艰难的尝试,n.,effort
蛋；卵,n.,egg
八,num.,eight
十八,num.,eighteen
第八,num.,eighth
八十,num.,eighty
两方任一方的；二者之一;二者之一；要么……,a.,either
或者……或者……,,either… or…
长者；前辈,a.,elder
电子的,a.,electronic
电的,a.,electric
象,n.,elephant
十一,num.,eleven
别的，其他的,ad.,else
电子邮件,n.,email
发电子邮件,v.,email
情感，感情; 情绪; 感动，激动; ,n.,emotion
空的,a.,empty
使失去；使…成为空的; 成为空的；流空,v.,empty
鼓励,vt.,encourage
末尾；终点；结束,n.,end
结束，终止,v.,end
敌人；敌军,n.,enemy
精力；能量,n.,energy
工程师；技师,n.,engineer
英格兰,n.,England
英国的；英国人的；英语的,a.,English
英语,n.,English
欣赏；享受……之乐趣；喜欢,vt.,enjoy
过得愉快,,enjoy oneself 
